cpus=12
 stress-ng-matri-110497 [004] 70738.602893: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.602895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.602895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:15, dampen:1024 
 stress-ng-matri-110464 [004] 70738.606894: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:14, dampen:1024 
 stress-ng-matri-110464 [004] 70738.606895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:14, dampen:1024 
 stress-ng-matri-110464 [004] 70738.606896: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:14, dampen:1024 
 stress-ng-matri-110498 [004] 70738.610893: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:14, dampen:1024 
 stress-ng-matri-110498 [004] 70738.610895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:14, dampen:1024 
 stress-ng-matri-110498 [004] 70738.610895: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:14, dampen:1024 
 stress-ng-matri-110497 [004] 70738.614899: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110464, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.614901: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110497, Temp:15, dampen:1024 
 stress-ng-matri-110497 [004] 70738.614901: bprint:               sugov_update_single_freq: Balv: CPU:CPU4 process=stress-ng-matri pid 110498, Temp:15, dampen:1024 
