 stress-ng-matri-110490 [000] 70738.626884: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:12, dampen:1024 
 stress-ng-matri-110490 [000] 70738.626885: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:12, dampen:1024 
 stress-ng-matri-110490 [000] 70738.626885: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110490 [000] 70738.626885: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
 stress-ng-matri-110495 [000] 70738.630888: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.630889: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.630890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.630890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.630890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.634933: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.634933: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.634934: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.634934: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
 stress-ng-matri-110496 [000] 70738.634934: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110470 [000] 70738.638888: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.638889: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.638890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.638890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:12, dampen:1024 
 stress-ng-matri-110470 [000] 70738.638890: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:12, dampen:1024 
           <...>-110479 [000] 70738.642896: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
           <...>-110479 [000] 70738.642896: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
           <...>-110479 [000] 70738.642897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:14, dampen:1024 
           <...>-110479 [000] 70738.642897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:14, dampen:1024 
           <...>-110479 [000] 70738.642897: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:14, dampen:1024 
 stress-ng-matri-110490 [000] 70738.646899: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.646900: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.646900: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.646900: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.646901: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647000: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647001: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647002: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647002: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647003: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647053: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647053: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647054: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110490, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647054: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110495, Temp:15, dampen:1024 
 stress-ng-matri-110490 [000] 70738.647054: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110496, Temp:15, dampen:1024 
 stress-ng-matri-110495 [000] 70738.650904: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110470, Temp:14, dampen:1024 
 stress-ng-matri-110495 [000] 70738.650905: bprint:               sugov_update_single_freq: Balv: CPU:CPU0 process=stress-ng-matri pid 110479, Temp:14, dampen:1024 
